Amount,MTTR,M_r,M_rf,PE,EPS,ROE,IPS,yyyymm,Beta,M_ExRet,M_vol,M_liq,M_high,M_skew,PEL1,EPSL1,ROEL1,IPSL1,MTTRL1,BetaL1,M_volL1,M_liqL1,M_highL1,M_skewL1
541188832.27,63.4755,-0.0302,0.001981,18.56,0.06,3.8942,1.72,200607,1.0819,-0.032181,0.02880857999999999,-0.0015017942847151,0.9331436699857751,-1.2349317444372716,21.08,0.06,3.8942,1.72,66.2546,1.1252,0.03079966,-0.0025377237706895343,0.9544807965860597,-1.030599271663057
283442269.01,35.6912,0.0398,0.002051,19.3,0.15,8.6565,3.47,200608,1.1005,0.037749000000000005,0.0159467,0.002044956254195044,0.8790896159317211,-0.37868019855894214,18.56,0.06,3.8942,1.72,63.4755,1.0819,0.02880857999999999,-0.0015017942847151,0.9331436699857751,-1.2349317444372716
341479512.75,40.1514,0.0549,0.002067,20.36,0.15,8.6565,3.47,200609,1.0886,0.052833,0.0109763,0.002794064009432268,0.955290611028316,0.995181211178947,19.3,0.15,8.6565,3.47,35.6912,1.1005,0.0159467,0.002044956254195044,0.8790896159317211,-0.37868019855894214
207380069.05,24.3618,-0.0726,0.002167,20.01,0.22,12.0761,5.34,200610,1.1329,-0.074767,0.005272860000000001,-0.0037911100948570023,0.9878048780487806,-0.922818343107359,20.36,0.15,8.6565,3.47,40.1514,1.0886,0.0109763,0.002794064009432268,0.955290611028316,0.995181211178947
145728575.2,18.9705,-0.0459,0.002289,19.09,0.22,12.0761,5.34,200611,1.0012,-0.048189,0.006727680000000001,-0.0024418457184996836,0.9058641975308641,-0.5028862699120215,20.01,0.22,12.0761,5.34,24.3618,1.1329,0.005272860000000001,-0.0037911100948570023,0.9878048780487806,-0.922818343107359
263326873.7,34.498,-0.041,0.00234,18.31,0.22,12.0761,5.34,200612,0.9606,-0.043340000000000004,0.0071636700000000005,-0.0021146112397046144,0.8935185185185185,-0.41988331873271184,19.09,0.22,12.0761,5.34,18.9705,1.0012,0.006727680000000001,-0.0024418457184996836,0.9058641975308641,-0.5028862699120215
625214557.61,69.9321,0.2621,0.00234,23.58,0.22,12.0761,5.34,200701,1.0572,0.25976,0.026386049999999998,0.012940905793981286,1.1311728395061729,1.1223848955037898,18.31,0.22,12.0761,5.34,34.498,0.9606,0.0071636700000000005,-0.0021146112397046144,0.8935185185185185,-0.41988331873271184
426071984.72,40.4854,0.1841,0.002374,27.93,0.22,12.0761,5.34,200702,1.1016,0.18172600000000003,0.018736680000000002,0.009265168528753474,1.1828103683492497,-1.1074450262369318,23.58,0.22,12.0761,5.34,69.9321,1.0572,0.026386049999999998,0.012940905793981286,1.1311728395061729,1.1223848955037898
739801884.71,63.1969,0.0796,0.002364,30.15,0.22,12.0761,5.34,200703,1.1761,0.077236,0.018146959999999997,0.003897777745610977,1.0784313725490196,0.030722520945138127,27.93,0.22,12.0761,5.34,40.4854,1.1016,0.018736680000000002,0.009265168528753474,1.1828103683492497,-1.1074450262369318
1445800690.0,97.8437,0.5991,0.002427,38.78,0.13,6.4942,2.59,200704,1.5223,0.596673,0.04398970000000001,0.028404229727470934,1.4844919786096258,1.157843894822403,30.15,0.22,12.0761,5.34,63.1969,1.1761,0.018146959999999997,0.003897777745610977,1.0784313725490196,0.030722520945138127
2227836025.37,90.9732,0.2997,0.002487,50.41,0.13,6.4942,2.59,200705,1.6482,0.297213,0.057738149999999995,0.013923799980059213,1.482708933717579,0.7092648966576578,38.78,0.13,6.4942,2.59,97.8437,1.5223,0.04398970000000001,0.028404229727470934,1.4844919786096258,1.157843894822403
2055413130.3,83.9252,-0.1962,0.002551,40.51,0.13,6.4942,2.59,200706,1.6436,-0.198751,0.06774116000000001,-0.00914952220480685,0.9849368318756074,-0.3761201359575909,50.41,0.13,6.4942,2.59,90.9732,1.6482,0.057738149999999995,0.013923799980059213,1.482708933717579,0.7092648966576578
1136498557.76,49.5822,0.3193,0.00262,37.5,0.13,6.4942,2.59,200707,1.7227,0.31667999999999996,0.04081455999999999,0.015313254172378311,0.9295432458697765,0.4342570803399239,40.51,0.13,6.4942,2.59,83.9252,1.6436,0.06774116000000001,-0.00914952220480685,0.9849368318756074,-0.3761201359575909
1603855390.22,62.7744,-0.0058,0.002682,37.28,0.37,16.3417,5.52,200708,1.6527,-0.008482,0.031186979999999996,-0.00027364071563170463,0.9475218658892129,0.34842153415132704,37.5,0.13,6.4942,2.59,49.5822,1.7227,0.04081455999999999,0.015313254172378311,0.9295432458697765,0.4342570803399239
2181210974.48,66.8263,0.5037,0.002934,56.06,0.37,16.3417,5.52,200709,1.5564,0.500766,0.05436525,0.023424479319099575,1.4109521460286139,1.0367739536230502,37.28,0.37,16.3417,5.52,62.7744,1.6527,0.031186979999999996,-0.00027364071563170463,0.9475218658892129,0.34842153415132704
1600521697.88,40.5515,-0.0315,0.00325,72.44,0.53,21.7957,8.75,200710,1.547,-0.03475,0.03740958,-0.001486298067655186,1.0769230769230769,0.23610580492735134,56.06,0.37,16.3417,5.52,66.8263,1.5564,0.05436525,0.023424479319099575,1.4109521460286139,1.0367739536230502
742617109.99,21.9184,-0.1874,0.003545,58.87,0.53,21.7957,8.75,200711,1.3972,-0.190945,0.028131250000000003,-0.009174720146048221,0.9071428571428571,-0.8817332924382574,72.44,0.53,21.7957,8.75,40.5515,1.547,0.03740958,-0.001486298067655186,1.0769230769230769,0.23610580492735134
852553425.06,23.3099,0.2732,0.003643,74.95,0.53,21.7957,8.75,200712,1.4042,0.269557,0.017161480000000003,0.013285516862349538,0.9305194805194805,0.6205244050542443,58.87,0.53,21.7957,8.75,21.9184,1.3972,0.028131250000000003,-0.009174720146048221,0.9071428571428571,-0.8817332924382574
1525121062.67,37.8314,-0.0963,0.003731,36.7,0.53,21.7957,8.75,200801,1.3725,-0.100031,0.044434520000000005,-0.00455419499940126,1.0714285714285714,-0.7914827530146984,74.95,0.53,21.7957,8.75,23.3099,1.4042,0.017161480000000003,0.013285516862349538,0.9305194805194805,0.6205244050542443
1100127618.55,27.2247,0.2664,0.003753,46.47,0.71,26.3793,11.39,200802,1.3443,0.262647,0.02332484,0.012796192943148167,0.9939393939393939,0.8364190321591999,36.7,0.53,21.7957,8.75,37.8314,1.3725,0.044434520000000005,-0.00455419499940126,1.0714285714285714,-0.7914827530146984
1398212520.24,32.8676,-0.1463,0.003751,39.67,0.71,26.3793,11.39,200803,1.2543,-0.15005100000000002,0.042125989999999995,-0.006947326472107772,1.0303030303030303,8.573184712822267e-05,46.47,0.71,26.3793,11.39,27.2247,1.3443,0.02332484,0.012796192943148167,0.9939393939393939,0.8364190321591999
969267776.93,28.0547,-0.0286,0.003745,32.16,0.27,9.2291,3.81,200804,1.263,-0.032345,0.06448281,-0.0013821732482250343,0.7970588235294118,-0.1049844301727325,39.67,0.71,26.3793,11.39,32.8676,1.2543,0.042125989999999995,-0.006947326472107772,1.0303030303030303,8.573184712822267e-05
1296154840.07,31.9156,0.0295,0.003743,33.11,0.27,9.2291,3.81,200805,1.2544,0.025757,0.015001979999999996,0.0014059222657590686,0.9264705882352942,-0.10190392315649709,32.16,0.27,9.2291,3.81,28.0547,1.263,0.06448281,-0.0013821732482250343,0.7970588235294118,-0.1049844301727325
